cosine,RT,isi,primecondition
0.1813404858112335,532.4,50.0,2.0
0.1813404858112335,546.15,1050.0,2.0
0.2676944136619568,691.6666666666666,50.0,2.0
0.2676944136619568,572.0285714285715,1050.0,2.0
0.0099797500297427,569.695652173913,50.0,2.0
0.0099797500297427,575.03125,1050.0,2.0
0.2180120199918747,547.7179487179487,50.0,2.0
0.2180120199918747,546.3548387096774,1050.0,2.0
0.0386601611971855,483.4,50.0,2.0
0.0386601611971855,530.1515151515151,1050.0,2.0
0.4759584367275238,603.9056603773585,50.0,2.0
0.4759584367275238,603.0,1050.0,2.0
0.0148351145908236,592.483870967742,50.0,2.0
0.0148351145908236,535.1764705882352,1050.0,2.0
0.1228200495243072,491.75,50.0,2.0
0.1228200495243072,491.5757575757576,1050.0,2.0
0.2752480506896972,528.829268292683,50.0,2.0
0.2752480506896972,532.25,1050.0,2.0
0.2781518697738647,545.25,50.0,2.0
0.2781518697738647,580.3396226415094,1050.0,2.0
0.1148703545331955,555.804347826087,50.0,2.0
0.1148703545331955,484.0,1050.0,2.0
0.075737178325653,516.3870967741935,50.0,2.0
0.075737178325653,484.25,1050.0,2.0
0.0777695924043655,513.9130434782609,50.0,2.0
0.0777695924043655,498.875,1050.0,2.0
0.0908169150352478,545.71875,50.0,2.0
0.0908169150352478,515.3529411764706,1050.0,2.0
0.1185055971145629,667.4782608695652,50.0,2.0
0.1185055971145629,605.6666666666666,1050.0,2.0
0.2601466774940491,501.5757575757576,50.0,2.0
0.2601466774940491,498.9583333333333,1050.0,2.0
0.2714416086673736,538.3870967741935,50.0,2.0
0.2714416086673736,522.3076923076923,1050.0,2.0
-0.1420890688896179,586.0645161290323,50.0,2.0
-0.1420890688896179,509.1304347826087,1050.0,2.0
0.0161349158734083,559.59375,50.0,2.0
0.0161349158734083,524.875,1050.0,2.0
-0.0447212494909763,590.875,50.0,2.0
-0.0447212494909763,523.2368421052631,1050.0,2.0
0.4429426193237304,607.1428571428571,50.0,2.0
0.4429426193237304,534.1034482758621,1050.0,2.0
0.3006012439727783,580.96875,50.0,2.0
0.3006012439727783,501.0967741935484,1050.0,2.0
0.1172054186463356,631.6666666666666,50.0,2.0
0.1172054186463356,551.125,1050.0,2.0
0.5693342089653015,621.952380952381,50.0,2.0
0.5693342089653015,534.3333333333334,1050.0,2.0
-0.0164084676653146,541.7,50.0,2.0
-0.0164084676653146,650.90625,1050.0,2.0
0.2220629453659057,566.75,50.0,2.0
0.2220629453659057,534.4857142857143,1050.0,2.0
0.0731983631849289,527.5,50.0,2.0
0.0731983631849289,531.0666666666667,1050.0,2.0
0.4160329103469848,609.7241379310345,50.0,2.0
0.4160329103469848,461.1875,1050.0,2.0
0.0075608817860484,656.75,50.0,2.0
0.0075608817860484,497.3684210526316,1050.0,2.0
0.2465265095233917,629.7647058823529,50.0,2.0
0.2465265095233917,563.1,1050.0,2.0
0.0319077484309673,555.2,50.0,2.0
0.0319077484309673,543.3928571428571,1050.0,2.0
0.1163786351680755,561.55,50.0,2.0
0.1163786351680755,518.5454545454545,1050.0,2.0
0.1141996905207634,599.5625,50.0,2.0
0.1141996905207634,537.34375,1050.0,2.0
0.2383522093296051,484.0,50.0,2.0
0.2383522093296051,520.125,1050.0,2.0
0.1206696182489395,586.5333333333333,50.0,2.0
0.1206696182489395,575.72,1050.0,2.0
0.046293418854475,505.625,50.0,2.0
0.046293418854475,452.9375,1050.0,2.0
0.2325769215822219,642.1875,50.0,2.0
0.2325769215822219,575.8,1050.0,2.0
0.4248399436473846,550.516129032258,50.0,2.0
0.4248399436473846,555.2,1050.0,2.0
0.247004434466362,586.3947368421053,50.0,2.0
0.247004434466362,508.34375,1050.0,2.0
0.2406863719224929,548.3095238095239,50.0,2.0
0.2406863719224929,491.8125,1050.0,2.0
0.1848593205213546,484.2941176470589,50.0,2.0
0.1848593205213546,524.3529411764706,1050.0,2.0
0.0438175797462463,569.52,50.0,2.0
0.0438175797462463,595.5555555555555,1050.0,2.0
0.278130829334259,575.6875,50.0,2.0
0.278130829334259,591.7647058823529,1050.0,2.0
-0.0098911365494132,542.0625,50.0,2.0
-0.0098911365494132,574.6521739130435,1050.0,2.0
0.0599410310387611,550.78125,50.0,2.0
0.0599410310387611,550.7333333333333,1050.0,2.0
0.0485877729952335,501.4375,50.0,2.0
0.0485877729952335,533.9333333333333,1050.0,2.0
0.2827757000923157,516.2368421052631,50.0,2.0
0.2827757000923157,545.25,1050.0,2.0
0.1140177026391029,604.8620689655172,50.0,2.0
0.1140177026391029,606.1739130434783,1050.0,2.0
0.1886963099241256,695.7692307692307,50.0,2.0
0.1886963099241256,544.8666666666667,1050.0,2.0
0.041456501930952,610.0434782608696,50.0,2.0
0.041456501930952,545.027027027027,1050.0,2.0
0.1845576018095016,480.1612903225807,50.0,2.0
0.1845576018095016,523.2333333333333,1050.0,2.0
0.0342394076287746,586.0,1050.0,2.0
0.1392960250377655,496.60526315789474,50.0,2.0
0.1392960250377655,541.516129032258,1050.0,2.0
0.1834851503372192,572.7333333333333,50.0,2.0
0.1834851503372192,496.9032258064516,1050.0,2.0
0.0693639814853668,467.4666666666666,50.0,2.0
0.0693639814853668,520.7727272727273,1050.0,2.0
0.1707656234502792,472.8181818181818,50.0,2.0
0.1707656234502792,478.625,1050.0,2.0
