cosine,RT,isi,primecondition
0.2324966788291931,532.4,50.0,2.0
0.2324966788291931,546.15,1050.0,2.0
0.3716344833374023,691.6666666666666,50.0,2.0
0.3716344833374023,572.0285714285715,1050.0,2.0
0.0460993349552154,569.695652173913,50.0,2.0
0.0460993349552154,575.03125,1050.0,2.0
0.3770582675933838,547.7179487179487,50.0,2.0
0.3770582675933838,546.3548387096774,1050.0,2.0
0.0134526062756776,483.4,50.0,2.0
0.0134526062756776,530.1515151515151,1050.0,2.0
0.5218758583068848,603.9056603773585,50.0,2.0
0.5218758583068848,603.0,1050.0,2.0
0.09158606082201,592.483870967742,50.0,2.0
0.09158606082201,535.1764705882352,1050.0,2.0
0.230870634317398,491.75,50.0,2.0
0.230870634317398,491.5757575757576,1050.0,2.0
0.3823186159133911,528.829268292683,50.0,2.0
0.3823186159133911,532.25,1050.0,2.0
0.382051408290863,545.25,50.0,2.0
0.382051408290863,580.3396226415094,1050.0,2.0
0.2163759917020797,555.804347826087,50.0,2.0
0.2163759917020797,484.0,1050.0,2.0
0.1439970433712005,516.3870967741935,50.0,2.0
0.1439970433712005,484.25,1050.0,2.0
0.0705968812108039,513.9130434782609,50.0,2.0
0.0705968812108039,498.875,1050.0,2.0
0.1118018478155136,545.71875,50.0,2.0
0.1118018478155136,515.3529411764706,1050.0,2.0
0.1426843106746673,667.4782608695652,50.0,2.0
0.1426843106746673,605.6666666666666,1050.0,2.0
0.3307905495166778,501.5757575757576,50.0,2.0
0.3307905495166778,498.9583333333333,1050.0,2.0
0.2241505086421966,538.3870967741935,50.0,2.0
0.2241505086421966,522.3076923076923,1050.0,2.0
0.0061590038239955,586.0645161290323,50.0,2.0
0.0061590038239955,509.1304347826087,1050.0,2.0
0.1190644800662994,559.59375,50.0,2.0
0.1190644800662994,524.875,1050.0,2.0
0.1201257184147834,590.875,50.0,2.0
0.1201257184147834,523.2368421052631,1050.0,2.0
0.5341123342514038,607.1428571428571,50.0,2.0
0.5341123342514038,534.1034482758621,1050.0,2.0
0.3335449397563934,580.96875,50.0,2.0
0.3335449397563934,501.0967741935484,1050.0,2.0
0.2170637547969818,631.6666666666666,50.0,2.0
0.2170637547969818,551.125,1050.0,2.0
0.5581337213516235,621.952380952381,50.0,2.0
0.5581337213516235,534.3333333333334,1050.0,2.0
0.1819972544908523,541.7,50.0,2.0
0.1819972544908523,650.90625,1050.0,2.0
0.260808527469635,566.75,50.0,2.0
0.260808527469635,534.4857142857143,1050.0,2.0
0.1252543777227401,527.5,50.0,2.0
0.1252543777227401,531.0666666666667,1050.0,2.0
0.4110114872455597,609.7241379310345,50.0,2.0
0.4110114872455597,461.1875,1050.0,2.0
0.1548386961221695,656.75,50.0,2.0
0.1548386961221695,497.3684210526316,1050.0,2.0
0.2475616633892059,629.7647058823529,50.0,2.0
0.2475616633892059,563.1,1050.0,2.0
0.1728395521640777,555.2,50.0,2.0
0.1728395521640777,543.3928571428571,1050.0,2.0
0.142956793308258,561.55,50.0,2.0
0.142956793308258,518.5454545454545,1050.0,2.0
0.1038164645433425,599.5625,50.0,2.0
0.1038164645433425,537.34375,1050.0,2.0
0.2663879990577698,484.0,50.0,2.0
0.2663879990577698,520.125,1050.0,2.0
0.0731444060802459,586.5333333333333,50.0,2.0
0.0731444060802459,575.72,1050.0,2.0
0.1521478742361068,505.625,50.0,2.0
0.1521478742361068,452.9375,1050.0,2.0
0.2767577469348907,642.1875,50.0,2.0
0.2767577469348907,575.8,1050.0,2.0
0.1437209844589233,550.516129032258,50.0,2.0
0.1437209844589233,555.2,1050.0,2.0
0.3845876157283783,586.3947368421053,50.0,2.0
0.3845876157283783,508.34375,1050.0,2.0
0.3621662855148315,548.3095238095239,50.0,2.0
0.3621662855148315,491.8125,1050.0,2.0
0.2918233275413513,484.2941176470589,50.0,2.0
0.2918233275413513,524.3529411764706,1050.0,2.0
0.1703773140907287,569.52,50.0,2.0
0.1703773140907287,595.5555555555555,1050.0,2.0
0.3253021836280823,575.6875,50.0,2.0
0.3253021836280823,591.7647058823529,1050.0,2.0
0.0836153775453567,542.0625,50.0,2.0
0.0836153775453567,574.6521739130435,1050.0,2.0
0.1071639657020568,550.78125,50.0,2.0
0.1071639657020568,550.7333333333333,1050.0,2.0
0.0299789011478424,501.4375,50.0,2.0
0.0299789011478424,533.9333333333333,1050.0,2.0
0.3785689175128937,516.2368421052631,50.0,2.0
0.3785689175128937,545.25,1050.0,2.0
0.218976616859436,604.8620689655172,50.0,2.0
0.218976616859436,606.1739130434783,1050.0,2.0
0.2565856873989105,695.7692307692307,50.0,2.0
0.2565856873989105,544.8666666666667,1050.0,2.0
0.1962438076734542,610.0434782608696,50.0,2.0
0.1962438076734542,545.027027027027,1050.0,2.0
0.1879549622535705,480.1612903225807,50.0,2.0
0.1879549622535705,523.2333333333333,1050.0,2.0
0.0258491467684507,586.0,1050.0,2.0
0.0717541426420211,496.60526315789474,50.0,2.0
0.0717541426420211,541.516129032258,1050.0,2.0
0.2658877372741699,572.7333333333333,50.0,2.0
0.2658877372741699,496.9032258064516,1050.0,2.0
0.1957607567310333,467.4666666666666,50.0,2.0
0.1957607567310333,520.7727272727273,1050.0,2.0
0.2152541577816009,472.8181818181818,50.0,2.0
0.2152541577816009,478.625,1050.0,2.0
0.1356039643287658,580.3,50.0,2.0
0.1356039643287658,546.2105263157895,1050.0,2.0
0.0941032245755195,490.75,50.0,2.0
0.0941032245755195,526.9583333333334,1050.0,2.0
0.1714020371437072,486.5,50.0,2.0
0.1714020371437072,477.6666666666667,1050.0,2.0
0.2560622096061706,593.28125,50.0,2.0
0.2560622096061706,526.3414634146342,1050.0,2.0
0.5074878931045532,599.9583333333334,50.0,2.0
0.5074878931045532,673.2,1050.0,2.0
0.4509388208389282,557.1818181818181,50.0,2.0
0.4509388208389282,573.7391304347826,1050.0,2.0
0.2033764570951461,516.258064516129,50.0,2.0
0.2033764570951461,486.8125,1050.0,2.0
0.2855356931686401,653.4166666666666,50.0,2.0
0.2855356931686401,563.1875,1050.0,2.0
0.1174360290169715,560.7777777777778,50.0,2.0
0.1174360290169715,513.1212121212121,1050.0,2.0
0.3593520820140838,619.2142857142857,50.0,2.0
0.3593520820140838,477.09090909090907,1050.0,2.0
0.1546350866556167,587.2592592592592,50.0,2.0
0.1546350866556167,483.1428571428572,1050.0,2.0
0.5739222168922424,641.0416666666666,50.0,2.0
0.5739222168922424,584.3513513513514,1050.0,2.0
0.3510151505470276,572.5416666666666,50.0,2.0
0.3510151505470276,529.4736842105264,1050.0,2.0
0.3196156620979309,527.78125,50.0,2.0
0.3196156620979309,544.4,1050.0,2.0
0.1134075596928596,555.40625,50.0,2.0
0.1134075596928596,553.0,1050.0,2.0
0.3804327547550201,532.4102564102565,50.0,2.0
