cosine,RT,isi,primecondition
0.9977142810821532,532.4,50.0,2.0
0.9977142810821532,546.15,1050.0,2.0
0.995963215827942,691.6666666666666,50.0,2.0
0.995963215827942,572.0285714285715,1050.0,2.0
0.997386395931244,569.695652173913,50.0,2.0
0.997386395931244,575.03125,1050.0,2.0
0.9987321496009828,547.7179487179487,50.0,2.0
0.9987321496009828,546.3548387096774,1050.0,2.0
0.9982904195785522,483.4,50.0,2.0
0.9982904195785522,530.1515151515151,1050.0,2.0
0.9980061650276184,603.9056603773585,50.0,2.0
0.9980061650276184,603.0,1050.0,2.0
0.996201992034912,592.483870967742,50.0,2.0
0.996201992034912,535.1764705882352,1050.0,2.0
0.99613755941391,491.75,50.0,2.0
0.99613755941391,491.5757575757576,1050.0,2.0
0.9987882375717164,528.829268292683,50.0,2.0
0.9987882375717164,532.25,1050.0,2.0
0.9980344772338868,545.25,50.0,2.0
0.9980344772338868,580.3396226415094,1050.0,2.0
0.9958282113075256,555.804347826087,50.0,2.0
0.9958282113075256,484.0,1050.0,2.0
0.7000021934509277,516.3870967741935,50.0,2.0
0.7000021934509277,484.25,1050.0,2.0
0.9955480694770812,513.9130434782609,50.0,2.0
0.9955480694770812,498.875,1050.0,2.0
0.9950367212295532,545.71875,50.0,2.0
0.9950367212295532,515.3529411764706,1050.0,2.0
0.9944761395454408,667.4782608695652,50.0,2.0
0.9944761395454408,605.6666666666666,1050.0,2.0
0.9955683946609496,501.5757575757576,50.0,2.0
0.9955683946609496,498.9583333333333,1050.0,2.0
0.9985893368721008,538.3870967741935,50.0,2.0
0.9985893368721008,522.3076923076923,1050.0,2.0
0.9935304522514344,586.0645161290323,50.0,2.0
0.9935304522514344,509.1304347826087,1050.0,2.0
0.6552174687385559,559.59375,50.0,2.0
0.6552174687385559,524.875,1050.0,2.0
0.9966206550598145,590.875,50.0,2.0
0.9966206550598145,523.2368421052631,1050.0,2.0
0.99769389629364,607.1428571428571,50.0,2.0
0.99769389629364,534.1034482758621,1050.0,2.0
0.998218595981598,580.96875,50.0,2.0
0.998218595981598,501.0967741935484,1050.0,2.0
0.9973336458206176,631.6666666666666,50.0,2.0
0.9973336458206176,551.125,1050.0,2.0
0.9992229342460632,621.952380952381,50.0,2.0
0.9992229342460632,534.3333333333334,1050.0,2.0
0.6841457486152649,541.7,50.0,2.0
0.6841457486152649,650.90625,1050.0,2.0
0.9958854913711548,566.75,50.0,2.0
0.9958854913711548,534.4857142857143,1050.0,2.0
0.9969677329063416,527.5,50.0,2.0
0.9969677329063416,531.0666666666667,1050.0,2.0
0.996656894683838,609.7241379310345,50.0,2.0
0.996656894683838,461.1875,1050.0,2.0
0.994569718837738,656.75,50.0,2.0
0.994569718837738,497.3684210526316,1050.0,2.0
0.9972981810569764,629.7647058823529,50.0,2.0
0.9972981810569764,563.1,1050.0,2.0
0.9966788291931152,555.2,50.0,2.0
0.9966788291931152,543.3928571428571,1050.0,2.0
0.8942810297012329,561.55,50.0,2.0
0.8942810297012329,518.5454545454545,1050.0,2.0
0.8947112560272217,599.5625,50.0,2.0
0.8947112560272217,537.34375,1050.0,2.0
0.9985867738723756,484.0,50.0,2.0
0.9985867738723756,520.125,1050.0,2.0
0.9956484436988832,586.5333333333333,50.0,2.0
0.9956484436988832,575.72,1050.0,2.0
0.8944374322891235,505.625,50.0,2.0
0.8944374322891235,452.9375,1050.0,2.0
0.998685359954834,642.1875,50.0,2.0
0.998685359954834,575.8,1050.0,2.0
0.9965232014656068,550.516129032258,50.0,2.0
0.9965232014656068,555.2,1050.0,2.0
0.998300552368164,586.3947368421053,50.0,2.0
0.998300552368164,508.34375,1050.0,2.0
0.9979873299598694,548.3095238095239,50.0,2.0
0.9979873299598694,491.8125,1050.0,2.0
0.9975613951683044,484.2941176470589,50.0,2.0
0.9975613951683044,524.3529411764706,1050.0,2.0
0.6760269999504089,569.52,50.0,2.0
0.6760269999504089,595.5555555555555,1050.0,2.0
0.9972282648086548,575.6875,50.0,2.0
0.9972282648086548,591.7647058823529,1050.0,2.0
0.9966520071029664,542.0625,50.0,2.0
0.9966520071029664,574.6521739130435,1050.0,2.0
0.8887876868247986,550.78125,50.0,2.0
0.8887876868247986,550.7333333333333,1050.0,2.0
0.9984063506126404,501.4375,50.0,2.0
0.9984063506126404,533.9333333333333,1050.0,2.0
0.9974576234817504,516.2368421052631,50.0,2.0
0.9974576234817504,545.25,1050.0,2.0
0.6606530547142029,604.8620689655172,50.0,2.0
0.6606530547142029,606.1739130434783,1050.0,2.0
0.996744692325592,695.7692307692307,50.0,2.0
0.996744692325592,544.8666666666667,1050.0,2.0
0.8927444219589233,610.0434782608696,50.0,2.0
0.8927444219589233,545.027027027027,1050.0,2.0
0.9985311031341552,480.1612903225807,50.0,2.0
0.9985311031341552,523.2333333333333,1050.0,2.0
0.9956519603729248,586.0,1050.0,2.0
0.9947192072868348,496.60526315789474,50.0,2.0
0.9947192072868348,541.516129032258,1050.0,2.0
0.9967244267463684,572.7333333333333,50.0,2.0
0.9967244267463684,496.9032258064516,1050.0,2.0
0.9956548810005188,467.4666666666666,50.0,2.0
0.9956548810005188,520.7727272727273,1050.0,2.0
0.9975832104682922,472.8181818181818,50.0,2.0
0.9975832104682922,478.625,1050.0,2.0
0.7204147577285767,580.3,50.0,2.0
0.7204147577285767,546.2105263157895,1050.0,2.0
0.9963243007659912,490.75,50.0,2.0
0.9963243007659912,526.9583333333334,1050.0,2.0
0.9975396990776062,486.5,50.0,2.0
0.9975396990776062,477.6666666666667,1050.0,2.0
0.9913002848625184,593.28125,50.0,2.0
0.9913002848625184,526.3414634146342,1050.0,2.0
0.9989435076713562,599.9583333333334,50.0,2.0
0.9989435076713562,673.2,1050.0,2.0
0.998964786529541,557.1818181818181,50.0,2.0
0.998964786529541,573.7391304347826,1050.0,2.0
0.9951448440551758,516.258064516129,50.0,2.0
0.9951448440551758,486.8125,1050.0,2.0
0.9939735531806946,653.4166666666666,50.0,2.0
0.9939735531806946,563.1875,1050.0,2.0
0.9975346326828004,560.7777777777778,50.0,2.0
0.9975346326828004,513.1212121212121,1050.0,2.0
0.9974071383476256,619.2142857142857,50.0,2.0
0.9974071383476256,477.09090909090907,1050.0,2.0
0.9955530762672424,587.2592592592592,50.0,2.0
0.9955530762672424,483.1428571428572,1050.0,2.0
0.998021364212036,641.0416666666666,50.0,2.0
0.998021364212036,584.3513513513514,1050.0,2.0
0.9971305131912231,572.5416666666666,50.0,2.0
0.9971305131912231,529.4736842105264,1050.0,2.0
0.8884791135787964,527.78125,50.0,2.0
0.8884791135787964,544.4,1050.0,2.0
0.9958876371383668,555.40625,50.0,2.0
0.9958876371383668,553.0,1050.0,2.0
0.8868499994277954,532.4102564102565,50.0,2.0
0.8868499994277954,475.82758620689657,1050.0,2.0
0.9925024509429932,520.9166666666666,50.0,2.0
